"bird_ID";"TransmGSM";"Type";"LON";"LAT";"Start";"End"
"391";"KIWS65";"Settlement";7.306546;46.811454;"2019-03-20";"2019-06-15"
"286";"KIWS83";"Settlement";6.571272;46.329731;"2019-03-24";"2019-05-04"
"342";"KIWS93";"Settlement";7.388561;46.798624;"2020-03-13";"2020-05-26"
"517";"KIWS95";"Settlement";16.579843;49.425074;"2020-04-01";"2020-06-24"
"350";"KIWS96";"Settlement";7.247397;46.735534;"2020-04-07";"2020-06-22"
"171";"SWIK03";"Settlement";6.957678;46.68122;"2019-03-21";"2019-05-20"
"315";"SWIK05";"Settlement";8.11245;47.056044;"2019-04-10";"2019-06-30"
"161";"SWIK07";"Settlement";7.768807;47.700181;"2019-03-08";"2019-07-02"
"142";"SWIK12";"Settlement";6.819954;46.625757;"2018-04-02";"2018-06-22"
"164";"SWIK16";"Settlement";6.693147;46.709071;"2018-04-14";"2018-05-28"
"137";"SWIK17";"Settlement";7.326727;46.867337;"2017-04-02";"2017-06-13"
"82";"SWIK23";"Settlement";7.253238;46.770273;"2019-02-28";"2019-05-12"
"138";"SWIK25";"Settlement";7.276867;46.80866;"2017-04-04";"2017-06-13"
"154";"SWIK27";"Settlement";7.25711;46.846359;"2018-02-02";"2018-06-16"
"151";"SWIK31";"Settlement";7.097781;46.556776;"2019-03-16";"2019-05-09"
"172";"SWIK33";"Settlement";7.130635;46.706918;"2018-03-09";"2018-07-15"
"150";"SWIK35";"Settlement";7.068373;46.60878;"2018-04-28";"2018-06-17"
"140";"SWIK38";"Settlement";7.801673;47.101929;"2018-03-26";"2018-06-29"
"165";"SWIK46";"Settlement";7.017005;46.760672;"2018-03-05";"2018-08-01"
"15";"SWIK49";"Settlement";7.370045;47.333444;"2020-04-12";"2020-07-19"
"157";"SWIK52";"Settlement";8.824945;47.654587;"2020-04-02";"2020-05-21"
"40";"SWIK69";"Settlement";7.347012;46.869637;"2019-02-25";"2019-04-16"
"228";"SWIK71";"Settlement";5.398052;46.043866;"2018-04-04";"2018-06-14"
